Rent,leasing_rate,size,stories,age,renovated,class_a,class_b,amenities,net,cluster_rent,Precipitation,cooling_costs,heating_costs,green_rating
18.87,96.29,562000,26,26,0,1,0,1,0,16.235,43.89,0.400726845,0.600717551,0
19.05,90.01,394366,23,24,0,1,0,1,0,16.235,43.89,0.400726845,0.600717551,0
22,100,630000,20,59,0,0,1,1,0,16.235,43.89,0.400726845,0.600717551,0
18.25,81.06,355869,16,27,1,0,1,1,0,17.375,25.55,0.903125,0.21008,1
15.36,91.05,166750,9,52,0,0,1,1,0,17.375,25.55,0.902146844,0.210463968,0
17,82.13,112888,10,41,1,0,0,1,0,17.375,25.55,0.902146844,0.210463968,0
17.75,96.31,56442,3,21,0,0,1,0,0,17.375,25.55,0.902146844,0.210463968,0
18.25,95.26,254149,14,33,1,0,1,1,0,17,25.55,0.903125,0.21008,1
15.36,91.05,166750,9,52,0,0,1,1,0,17,25.55,0.902146844,0.210463968,0
17,82.13,112888,10,41,1,0,0,1,0,17,25.55,0.902146844,0.210463968,0
18.25,73.4,1113575,45,23,1,1,0,1,1,16.385,25.55,0.903125,0.21008,1
8,42.25,177159,13,48,0,0,0,1,0,16.385,25.55,0.902146844,0.210463968,0
8,100,359494,9,42,0,0,0,1,0,16.385,25.55,0.902146844,0.210463968,0
10.43,55.2,1096486,49,42,0,0,1,1,0,16.385,25.55,0.902146844,0.210463968,0
13.5,92.75,44128,4,78,1,0,0,0,0,16.385,25.55,0.902146844,0.210463968,0
13.79,28.57,29400,6,42,0,0,0,0,0,16.385,25.55,0.902146844,0.210463968,0
14,89.27,1010193,33,39,1,0,1,1,1,16.385,25.55,0.902146844,0.210463968,0
14.2,69.12,193070,26,53,1,0,1,1,0,16.385,25.55,0.902146844,0.210463968,0
14.5,100,1027363,48,23,0,1,0,1,0,16.385,25.55,0.902146844,0.210463968,0
15.31,41.91,612438,30,28,0,1,0,1,1,16.385,25.55,0.902146844,0.210463968,0
16.29,68.32,1340481,49,24,1,1,0,1,1,16.385,25.55,0.902146844,0.210463968,0
16.48,87.72,828314,34,27,1,1,0,1,0,16.385,25.55,0.902146844,0.210463968,0
16.5,72.29,434132,50,43,1,0,1,0,0,16.385,25.55,0.902146844,0.210463968,0
16.5,90.11,306484,8,27,1,0,1,0,0,16.385,25.55,0.902146844,0.210463968,0
17,84.82,731716,36,25,0,1,0,0,1,16.385,25.55,0.902146844,0.210463968,0
17.67,55.71,1353272,50,27,1,1,0,1,0,16.385,25.55,0.902146844,0.210463968,0
17.96,73.96,1738979,56,33,1,1,0,1,1,16.385,25.55,0.902146844,0.210463968,0
18.07,85.53,1124021,40,34,1,1,0,1,1,16.385,25.55,0.902146844,0.210463968,0
20,45.4,30000,5,95,0,0,1,0,0,16.385,25.55,0.902146844,0.210463968,0
20.5,53.92,273080,22,24,0,1,0,0,0,16.385,25.55,0.902146844,0.210463968,0
18.41,74.72,436340,18,94,1,1,0,1,0,17.935,40.7,0.519601,0.328716,1
9.5,50,18000,2,87,0,0,0,0,0,17.935,40.7,0.519369585,0.328965252,0
13,75,20000,4,49,1,0,0,0,0,17.935,40.7,0.519369585,0.328965252,0
14.67,75,3600,2,6,0,0,0,0,0,17.935,40.7,0.519369585,0.328965252,0
17.7,89.86,118487,10,106,1,0,1,1,0,17.935,40.7,0.519369585,0.328965252,0
17.89,53.06,614642,32,38,1,1,0,1,0,17.935,40.7,0.519369585,0.328965252,0
17.93,77.2,398000,29,54,1,0,1,1,0,17.935,40.7,0.519369585,0.328965252,0
17.94,95.98,173131,16,95,1,0,0,1,0,17.935,40.7,0.519369585,0.328965252,0
18,64.8,45461,11,110,1,0,0,0,0,17.935,40.7,0.519369585,0.328965252,0
18.5,70.84,553468,19,24,0,1,0,1,0,17.935,40.7,0.519369585,0.328965252,0
18.95,88.41,212000,17,101,0,0,1,1,0,17.935,40.7,0.519369585,0.328965252,0
21.5,87.05,1133840,51,25,0,1,0,1,0,17.935,40.7,0.519369585,0.328965252,0
50,89.3,160000,10,90,0,0,1,1,0,17.935,40.7,0.519369585,0.328965252,0
18.42,93.12,1419079,57,26,0,1,0,1,0,22.5,41.32,0.259329,0.648108,1
14.75,83.33,136800,13,84,0,0,0,1,0,22.5,41.32,0.259330302,0.6463071,0
15,93.08,39761,13,83,1,0,0,0,0,22.5,41.32,0.259330302,0.6463071,0
16.23,94.36,625696,23,97,1,0,1,1,0,22.5,41.32,0.259330302,0.6463071,0
16.78,79.31,733633,37,21,0,1,0,1,0,22.5,41.32,0.259330302,0.6463071,0
17.85,93.77,1601744,48,34,1,1,0,1,0,22.5,41.32,0.259330302,0.6463071,0
18.04,72.44,803046,40,26,1,1,0,1,0,22.5,41.32,0.259330302,0.6463071,0
18.06,86.28,401000,19,93,1,0,0,0,0,22.5,41.32,0.259330302,0.6463071,0
19,92.16,649265,23,34,1,0,1,1,0,22.5,41.32,0.259330302,0.6463071,0
19,91.35,78100,22,94,1,0,1,0,0,22.5,41.32,0.259330302,0.6463071,0
19,95.46,173612,14,104,1,0,0,1,0,22.5,41.32,0.259330302,0.6463071,0
19,87.9,111323,14,78,1,0,0,1,0,22.5,41.32,0.259330302,0.6463071,0
19,96.02,281325,12,119,1,1,0,1,0,22.5,41.32,0.259330302,0.6463071,0
19.13,94.22,130976,22,80,1,0,0,0,0,22.5,41.32,0.259330302,0.6463071,0
19.5,88.35,125729,23,79,1,0,1,1,0,22.5,41.32,0.259330302,0.6463071,0
20,47.14,66600,6,107,1,0,0,1,0,22.5,41.32,0.259330302,0.6463071,0
20,92.46,1056408,50,15,0,1,0,1,0,22.5,41.32,0.259330302,0.6463071,0
20,22.35,13909,4,77,0,0,0,1,0,22.5,41.32,0.259330302,0.6463071,0
20.5,96.09,159000,17,46,1,0,0,1,0,22.5,41.32,0.259330302,0.6463071,0
20.53,94.35,988171,44,33,1,0,1,1,0,22.5,41.32,0.259330302,0.6463071,0
20.91,86.79,591430,37,32,1,1,0,1,0,22.5,41.32,0.259330302,0.6463071,0
21.5,91.82,243040,19,103,1,0,1,1,0,22.5,41.32,0.259330302,0.6463071,0
21.95,86.09,920000,45,24,0,1,0,1,1,22.5,41.32,0.259330302,0.6463071,0
21.97,91.63,940639,50,17,0,1,0,1,0,22.5,41.32,0.259330302,0.6463071,0
22.11,93.96,158100,16,114,1,0,0,1,0,22.5,41.32,0.259330302,0.6463071,0
22.5,84.05,219273,15,114,1,0,0,1,0,22.5,41.32,0.259330302,0.6463071,0
22.67,78.9,197621,12,107,1,0,0,1,0,22.5,41.32,0.259330302,0.6463071,0
22.75,100,157409,25,80,1,0,1,1,0,22.5,41.32,0.259330302,0.6463071,0
23.12,96.44,178000,21,84,1,0,1,1,0,22.5,41.32,0.259330302,0.6463071,0
23.5,99.42,1904229,57,40,1,1,0,1,0,22.5,41.32,0.259330302,0.6463071,0
23.5,68.55,798782,40,21,0,1,0,1,1,22.5,41.32,0.259330302,0.6463071,0
24,96.28,420000,21,93,1,0,1,1,0,22.5,41.32,0.259330302,0.6463071,0
24,72.32,884004,17,102,1,0,1,1,0,22.5,41.32,0.259330302,0.6463071,0
24.35,20.21,43049,5,107,1,0,0,0,0,22.5,41.32,0.259330302,0.6463071,0
24.47,60.55,896769,15,87,0,0,1,1,0,22.5,41.32,0.259330302,0.6463071,0
24.5,84.6,455813,41,80,1,0,1,1,0,22.5,41.32,0.259330302,0.6463071,0
24.5,76.61,237070,19,50,0,0,1,1,0,22.5,41.32,0.259330302,0.6463071,0
24.55,68.8,206000,22,81,0,0,0,1,0,22.5,41.32,0.259330302,0.6463071,0
24.62,93.17,384510,36,27,0,0,1,1,0,22.5,41.32,0.259330302,0.6463071,0
25,52.46,640554,16,95,0,0,1,0,0,22.5,41.32,0.259330302,0.6463071,0
25.45,91.2,285000,22,97,1,0,0,1,0,22.5,41.32,0.259330302,0.6463071,0
25.51,84.78,486602,47,78,0,0,1,1,0,22.5,41.32,0.259330302,0.6463071,0
26.45,93.27,1504364,37,4,0,1,0,0,0,22.5,41.32,0.259330302,0.6463071,0
26.49,91.54,402010,38,76,1,1,0,0,0,22.5,41.32,0.259330302,0.6463071,0
26.84,87.74,53642,4,7,0,1,0,1,0,22.5,41.32,0.259330302,0.6463071,0
28,87.62,879000,28,26,1,1,0,1,0,22.5,41.32,0.259330302,0.6463071,0
28.26,85.87,363657,30,37,0,0,1,1,0,22.5,41.32,0.259330302,0.6463071,0
29.61,52.65,290000,35,91,1,0,1,1,0,22.5,41.32,0.259330302,0.6463071,0
38.47,95.86,579778,22,93,1,0,1,1,0,22.5,41.32,0.259330302,0.6463071,0
80,100,691410,26,29,1,0,1,1,0,22.5,41.32,0.259330302,0.6463071,0
18.47,99.46,686250,35,18,0,1,0,1,0,25.49,22.71,0.258552,0.146157,1
22.77,91.98,281000,11,82,1,0,1,1,0,25.49,22.71,0.258604921,0.146102369,0
22.83,93.58,915316,41,22,1,1,0,1,1,25.49,22.71,0.258604921,0.146102369,0
24,63.02,29823,5,76,1,0,1,1,0,25.49,22.71,0.258604921,0.146102369,0
24.86,94.14,458149,25,15,0,1,0,0,0,25.49,22.71,0.258604921,0.146102369,0
25.34,86.67,377400,12,81,1,1,0,1,0,25.49,22.71,0.258604921,0.146102369,0
25.64,82.78,207057,22,21,0,1,0,1,0,25.49,22.71,0.258604921,0.146102369,0
25.72,72.07,412000,21,22,0,1,0,1,0,25.49,22.71,0.258604921,0.146102369,0
27.16,93.03,242176,8,22,1,1,0,0,0,25.49,22.71,0.258604921,0.146102369,0
27.5,84.31,126700,12,22,0,1,0,0,0,25.49,22.71,0.258604921,0.146102369,0
29.8,88.62,678500,33,34,1,1,0,1,0,25.49,22.71,0.258604921,0.146102369,0
30,87.31,35452,5,83,1,0,1,1,0,25.49,22.71,0.258604921,0.146102369,0
18.5,91.65,519000,16,7,0,1,0,1,0,19.65,41.32,0.259329,0.648108,1
8.25,82.29,304000,5,61,0,0,0,0,0,19.65,41.32,0.259330302,0.6463071,0
14,94.06,70000,5,124,1,0,1,0,0,19.65,41.32,0.259330302,0.6463071,0
16,63.23,55000,7,85,1,0,0,0,0,19.65,41.32,0.259330302,0.6463071,0
17.42,84.1,311946,16,95,1,0,0,1,0,19.65,41.32,0.259330302,0.6463071,0
17.69,84.04,754751,40,26,0,1,0,1,0,19.65,41.32,0.259330302,0.6463071,0
18,89.25,512354,35,36,1,1,0,1,0,19.65,41.32,0.259330302,0.6463071,0
19,97.55,78014,7,103,1,0,0,1,0,19.65,41.32,0.259330302,0.6463071,0
19.09,85.21,1075907,23,24,0,1,0,1,0,19.65,41.32,0.259330302,0.6463071,0
19.65,87.82,405968,18,6,0,1,0,1,0,19.65,41.32,0.259330302,0.6463071,0
20,77.67,107200,8,103,0,0,0,0,0,19.65,41.32,0.259330302,0.6463071,0
20.67,89.23,537084,32,35,0,0,1,1,0,19.65,41.32,0.259330302,0.6463071,0
21.5,100,692778,22,42,1,0,1,1,0,19.65,41.32,0.259330302,0.6463071,0
22,85.24,21380,2,72,1,0,1,0,0,19.65,41.32,0.259330302,0.6463071,0
22.48,94.01,1184400,35,36,1,0,1,1,0,19.65,41.32,0.259330302,0.6463071,0
25.1,93.36,479000,18,1,0,1,0,0,0,19.65,41.32,0.259330302,0.6463071,0
26.99,93.67,904593,25,24,1,1,0,1,0,19.65,41.32,0.259330302,0.6463071,0
30,99.76,420000,18,5,0,1,0,1,0,19.65,41.32,0.259330302,0.6463071,0
18.5,92.45,120165,6,39,0,0,1,0,0,16.5,21.97,0.251409,0.57646,1
14.95,77.13,6560,1,32,0,0,1,0,0,16.5,21.97,0.251990324,0.576250351,0
15.9,74.66,63630,4,40,1,0,0,0,0,16.5,21.97,0.251990324,0.576250351,0
16.5,100,92256,5,37,0,0,1,0,0,16.5,21.97,0.251990324,0.576250351,0
17.5,91.61,11920,2,38,0,0,1,0,0,16.5,21.97,0.251990324,0.576250351,0
2.98,100,259317,21,29,1,0,1,0,0,19.105,47.95,3.047264944,0,0
14.57,41.26,25148,3,111,1,0,0,0,0,19.105,47.95,3.047264944,0,0
15,100,153966,25,37,0,1,0,0,0,19.105,47.95,3.047264944,0,0
16.2,98.47,66380,9,32,0,0,1,0,0,19.105,47.95,3.047264944,0,0
18.24,81.87,275408,30,14,0,1,0,0,0,19.105,47.95,3.047264944,0,0
19.61,97.8,201241,24,18,0,1,0,0,0,19.105,47.95,3.047264944,0,0
19.8,98.56,186138,25,13,0,1,0,0,1,19.105,47.95,3.047264944,0,0
20.4,100,355802,20,35,1,1,0,0,0,19.105,47.95,3.047264944,0,0
20.62,66.47,99175,8,19,0,1,0,0,1,19.105,47.95,3.047264944,0,0
20.77,92.9,477045,20,38,0,1,0,1,1,19.105,47.95,3.047264944,0,0
24,87.36,105332,10,42,0,0,1,1,1,19.105,47.95,3.047264944,0,0
18.61,92.67,629040,30,23,0,1,0,1,0,22.935,41.32,0.259329,0.648108,1
8.44,80.31,16250,4,107,1,0,0,1,0,22.935,41.32,0.259330302,0.6463071,0
15,93.08,39761,13,83,1,0,0,0,0,22.935,41.32,0.259330302,0.6463071,0
15.68,85.8,938314,26,80,1,0,1,1,0,22.935,41.32,0.259330302,0.6463071,0
16.5,86.98,770191,38,35,1,1,0,1,0,22.935,41.32,0.259330302,0.6463071,0
17.5,99.6,885664,35,20,0,1,0,1,0,22.935,41.32,0.259330302,0.6463071,0
17.73,94.19,581107,27,21,0,1,0,1,0,22.935,41.32,0.259330302,0.6463071,0
19,87.9,111323,14,78,1,0,0,1,0,22.935,41.32,0.259330302,0.6463071,0
19,91.24,44621,4,135,1,0,0,1,0,22.935,41.32,0.259330302,0.6463071,0
19.56,88.19,226550,23,93,1,0,0,1,0,22.935,41.32,0.259330302,0.6463071,0
20,92.46,1056408,50,15,0,1,0,1,0,22.935,41.32,0.259330302,0.6463071,0
20,22.35,13909,4,77,0,0,0,1,0,22.935,41.32,0.259330302,0.6463071,0
20.29,88.42,845247,36,24,0,1,0,1,0,22.935,41.32,0.259330302,0.6463071,0
20.53,94.35,988171,44,33,1,0,1,1,0,22.935,41.32,0.259330302,0.6463071,0
20.94,100,98862,7,95,1,0,0,1,0,22.935,41.32,0.259330302,0.6463071,0
21,89.14,483497,28,20,0,1,0,1,0,22.935,41.32,0.259330302,0.6463071,0
21.48,98.18,540676,30,21,1,1,0,1,0,22.935,41.32,0.259330302,0.6463071,0
22.75,23.16,37480,6,112,1,0,0,0,0,22.935,41.32,0.259330302,0.6463071,0
22.75,100,157409,25,80,1,0,1,1,0,22.935,41.32,0.259330302,0.6463071,0
23.12,96.44,178000,21,84,1,0,1,1,0,22.935,41.32,0.259330302,0.6463071,0
23.95,86.36,959258,51,15,0,1,0,1,0,22.935,41.32,0.259330302,0.6463071,0
24,91.35,243147,23,80,1,0,1,1,0,22.935,41.32,0.259330302,0.6463071,0
24.55,68.8,206000,22,81,0,0,0,1,0,22.935,41.32,0.259330302,0.6463071,0
24.62,93.17,384510,36,27,0,0,1,1,0,22.935,41.32,0.259330302,0.6463071,0
25,66.74,48100,6,101,1,0,0,0,0,22.935,41.32,0.259330302,0.6463071,0
25.51,84.78,486602,47,78,0,0,1,1,0,22.935,41.32,0.259330302,0.6463071,0
25.74,95.45,3448680,24,77,0,0,1,1,0,22.935,41.32,0.259330302,0.6463071,0
26.49,91.54,402010,38,76,1,1,0,0,0,22.935,41.32,0.259330302,0.6463071,0
26.84,87.74,53642,4,7,0,1,0,1,0,22.935,41.32,0.259330302,0.6463071,0
27.55,93.73,617114,24,27,1,0,1,1,0,22.935,41.32,0.259330302,0.6463071,0
27.66,88.04,416224,41,77,1,0,1,1,0,22.935,41.32,0.259330302,0.6463071,0
29,100,121153,15,18,0,1,0,0,0,22.935,41.32,0.259330302,0.6463071,0
31.33,86.15,315784,11,94,1,0,1,1,0,22.935,41.32,0.259330302,0.6463071,0
32.11,84.79,70853,4,22,0,0,1,0,0,22.935,41.32,0.259330302,0.6463071,0
35.29,89.34,32046,11,6,0,0,1,0,0,22.935,41.32,0.259330302,0.6463071,0
38.47,95.86,579778,22,93,1,0,1,1,0,22.935,41.32,0.259330302,0.6463071,0
80,100,691410,26,29,1,0,1,1,0,22.935,41.32,0.259330302,0.6463071,0
18.65,91.43,1483308,64,24,0,1,0,1,0,26.125,25.55,0.793594,0.16867,1
33.6,92.7,27396,3,5,0,0,1,0,0,26.125,25.55,0.792734475,0.168978282,0
18.75,92.5,291264,16,18,0,1,0,1,0,18.875,23.16,0.221038,0.731442,1
19,98.2,213500,5,7,0,1,0,1,0,18.875,23.16,0.220763773,0.72984215,0
18.79,86.34,683220,38,29,1,1,0,1,0,23,16.67,0.21252,0.5738,1
12,100,94259,7,109,0,0,1,0,0,23,16.67,0.212338807,0.572995049,0
14.24,66.33,19600,4,102,1,0,0,0,0,23,16.67,0.212338807,0.572995049,0
15,100,86257,9,29,1,0,1,1,0,23,16.67,0.212338807,0.572995049,0
16.66,87.55,571468,28,25,0,1,0,1,0,23,16.67,0.212338807,0.572995049,0
17.91,46.32,425104,28,50,1,0,1,1,0,23,16.67,0.212338807,0.572995049,0
18,82.14,374948,14,43,1,0,1,1,0,23,16.67,0.212338807,0.572995049,0
18.96,88.36,108862,10,25,0,0,1,1,0,23,16.67,0.212338807,0.572995049,0
19.08,72.97,42007,6,104,0,0,1,0,0,23,16.67,0.212338807,0.572995049,0
19.5,86.36,373496,28,28,0,1,0,1,0,23,16.67,0.212338807,0.572995049,0
22.25,87.69,232000,22,53,0,0,1,1,0,23,16.67,0.212338807,0.572995049,0
23,98.1,94800,13,38,0,0,1,0,0,23,16.67,0.212338807,0.572995049,0
23,100,39486,6,97,1,0,1,0,0,23,16.67,0.212338807,0.572995049,0
23,100,49000,3,42,0,0,1,1,0,23,16.67,0.212338807,0.572995049,0
24,98.79,147100,18,25,0,1,0,1,0,23,16.67,0.212338807,0.572995049,0
24.5,94.69,212681,24,22,1,1,0,1,0,23,16.67,0.212338807,0.572995049,0
25.5,84.69,340872,32,25,0,1,0,1,0,23,16.67,0.212338807,0.572995049,0
25.58,89.6,173155,20,25,0,1,0,1,0,23,16.67,0.212338807,0.572995049,0
29.67,99.23,1274867,52,25,0,1,0,1,0,23,16.67,0.212338807,0.572995049,0
30,95.6,550805,42,26,1,1,0,1,0,23,16.67,0.212338807,0.572995049,0
33,100,151425,16,32,0,0,1,1,0,23,16.67,0.212338807,0.572995049,0
36.55,94.91,45239,3,23,0,0,1,0,0,23,16.67,0.212338807,0.572995049,0
19,100,280000,12,8,0,1,0,1,0,14.265,16.67,0.1353,0.570285,1
12,65.65,20086,4,107,0,0,1,1,0,14.265,16.67,0.135184644,0.56948498,0
12,76.99,5214,2,19,0,0,1,0,0,14.265,16.67,0.135184644,0.56948498,0
12.51,69.19,57859,6,86,0,0,1,1,1,14.265,16.67,0.135184644,0.56948498,0
14,81.96,129749,5,19,0,0,1,1,0,14.265,16.67,0.135184644,0.56948498,0
14.14,60.45,27815,5,107,0,0,1,0,0,14.265,16.67,0.135184644,0.56948498,0
14.5,100,59253,1,29,0,1,0,1,0,14.265,16.67,0.135184644,0.56948498,0
16.53,80.16,39618,4,107,0,0,1,0,0,14.265,16.67,0.135184644,0.56948498,0
20,93.98,42315,4,44,0,0,1,1,0,14.265,16.67,0.135184644,0.56948498,0
21.5,96.95,200000,5,107,0,0,1,1,0,14.265,16.67,0.135184644,0.56948498,0
19,100,648047,27,13,0,1,0,0,0,15.5,49.32,0.546156,0.406995,1
9.5,56.25,48000,4,147,0,0,1,1,0,15.5,49.32,0.547245021,0.406755188,0
11.5,65.55,40350,7,107,1,0,0,0,0,15.5,49.32,0.547245021,0.406755188,0
12,67.21,44275,7,33,1,0,1,0,0,15.5,49.32,0.547245021,0.406755188,0
13.83,73.11,63724,4,125,1,0,0,0,0,15.5,49.32,0.547245021,0.406755188,0
14,78.82,77712,4,101,0,0,1,0,0,15.5,49.32,0.547245021,0.406755188,0
14,100,45776,3,127,0,0,1,0,0,15.5,49.32,0.547245021,0.406755188,0
14.15,97.72,392217,24,22,0,1,0,0,0,15.5,49.32,0.547245021,0.406755188,0
15,53.7,30238,5,126,1,0,1,0,0,15.5,49.32,0.547245021,0.406755188,0
15,83.54,210747,7,117,1,0,1,0,0,15.5,49.32,0.547245021,0.406755188,0
15.5,96.42,276818,31,52,1,0,1,0,0,15.5,49.32,0.547245021,0.406755188,0
15.67,81.02,36567,4,19,0,0,1,0,0,15.5,49.32,0.547245021,0.406755188,0
15.92,69.11,76588,6,137,1,0,1,0,0,15.5,49.32,0.547245021,0.406755188,0
16,87.98,13763,3,24,0,0,1,0,0,15.5,49.32,0.547245021,0.406755188,0
16.27,92.66,421513,21,30,1,1,0,0,0,15.5,49.32,0.547245021,0.406755188,0
17.5,75,116572,13,21,1,1,0,0,0,15.5,49.32,0.547245021,0.406755188,0
17.5,85.9,250566,20,39,1,0,1,0,0,15.5,49.32,0.547245021,0.406755188,0
18,96.4,111000,31,20,0,1,0,0,0,15.5,49.32,0.547245021,0.406755188,0
18.2,83.48,31703,5,107,1,0,1,0,0,15.5,49.32,0.547245021,0.406755188,0
20.5,77.32,488853,30,21,0,1,0,0,0,15.5,49.32,0.547245021,0.406755188,0
19,91.23,93345,5,21,0,1,0,1,0,19,40.7,0.519601,0.328716,1
18.5,80.59,93353,4,17,0,1,0,0,0,19,40.7,0.519369585,0.328965252,0
20.25,81.82,211352,10,19,0,1,0,1,0,19,40.7,0.519369585,0.328965252,0
19,100,703382,26,25,0,1,0,1,0,23.54,22.71,0.258552,0.146157,1
18,98.19,142000,35,32,1,1,0,1,0,23.54,22.71,0.258604921,0.146102369,0
21.21,76.47,32000,4,100,1,0,0,0,0,23.54,22.71,0.258604921,0.146102369,0
21.97,93.09,1329810,52,15,1,1,0,1,0,23.54,22.71,0.258604921,0.146102369,0
22.49,87.25,982000,42,22,0,1,0,1,1,23.54,22.71,0.258604921,0.146102369,0
22.98,93.36,566434,28,16,0,1,0,1,0,23.54,22.71,0.258604921,0.146102369,0
23.24,96.27,1385325,54,25,1,1,0,1,0,23.54,22.71,0.258604921,0.146102369,0
23.49,95.21,1313409,50,16,0,1,0,1,0,23.54,22.71,0.258604921,0.146102369,0
23.54,95.45,1138850,45,24,0,1,0,1,0,23.54,22.71,0.258604921,0.146102369,0
25.44,74.07,163000,13,79,1,0,1,0,0,23.54,22.71,0.258604921,0.146102369,0
25.77,93.07,242200,13,77,1,1,0,1,0,23.54,22.71,0.258604921,0.146102369,0
27.73,84.09,370209,10,32,0,0,1,1,0,23.54,22.71,0.258604921,0.146102369,0
31.02,56.18,130410,24,21,0,1,0,1,0,23.54,22.71,0.258604921,0.146102369,0
31.48,92.01,219000,12,86,1,0,1,1,0,23.54,22.71,0.258604921,0.146102369,0
34.87,90.39,29200,1,2,0,0,1,0,0,23.54,22.71,0.258604921,0.146102369,0
42,75.61,18800,27,18,0,0,1,1,0,23.54,22.71,0.258604921,0.146102369,0
42,100,105000,12,78,1,0,1,0,0,23.54,22.71,0.258604921,0.146102369,0
19,100,115310,4,4,0,1,0,0,0,17.75,42.57,1.44652,0.007946,1
16.5,69.51,124462,5,22,1,1,0,0,1,17.75,42.57,1.448742104,0.007964265,0
19.02,92.34,1070279,41,24,0,1,0,1,0,18,25.55,0.793594,0.16867,1
17.5,100,179266,8,31,0,0,1,1,0,18,25.55,0.792734475,0.168978282,0
18,89.38,103689,6,36,0,0,1,0,0,18,25.55,0.792734475,0.168978282,0
18,90.5,96306,6,35,0,0,1,1,0,18,25.55,0.792734475,0.168978282,0
20,97.97,109600,6,32,0,0,1,1,0,18,25.55,0.792734475,0.168978282,0
19.07,99.51,392626,21,26,1,1,0,1,0,24.83,22.71,0.258552,0.146157,1
18,98.19,142000,35,32,1,1,0,1,0,24.83,22.71,0.258604921,0.146102369,0
19.2,83.43,24152,4,59,1,0,1,0,0,24.83,22.71,0.258604921,0.146102369,0
20.97,88.28,1028852,62,33,1,1,0,1,0,24.83,22.71,0.258604921,0.146102369,0
22.98,93.36,566434,28,16,0,1,0,1,0,24.83,22.71,0.258604921,0.146102369,0
23.23,56.39,349213,21,47,1,1,0,1,0,24.83,22.71,0.258604921,0.146102369,0
24,87.11,160000,15,55,1,1,0,1,0,24.83,22.71,0.258604921,0.146102369,0
25.66,96.66,213079,18,34,0,1,0,1,0,24.83,22.71,0.258604921,0.146102369,0
25.77,93.07,242200,13,77,1,1,0,1,0,24.83,22.71,0.258604921,0.146102369,0
26,52.86,35086,3,49,0,0,1,0,0,24.83,22.71,0.258604921,0.146102369,0
26.69,77.89,113070,12,81,1,0,1,1,0,24.83,22.71,0.258604921,0.146102369,0
27.73,84.09,370209,10,32,0,0,1,1,0,24.83,22.71,0.258604921,0.146102369,0
30.47,69.15,74141,7,41,0,1,0,0,0,24.83,22.71,0.258604921,0.146102369,0
33,78.16,450000,13,49,1,0,1,1,0,24.83,22.71,0.258604921,0.146102369,0
33,86.9,278900,24,18,0,1,0,1,0,24.83,22.71,0.258604921,0.146102369,0
19.18,99.52,1196036,57,20,0,1,0,0,0,11.64,23.16,0.221038,0.731442,1
6,56.82,38673,4,60,0,0,1,0,0,11.64,23.16,0.220763773,0.72984215,0
8,85.62,259000,12,98,0,0,1,1,0,11.64,23.16,0.220763773,0.72984215,0
8,78.03,198716,13,85,0,0,1,0,0,11.64,23.16,0.220763773,0.72984215,0
8,86.6,157600,12,91,0,0,1,0,0,11.64,23.16,0.220763773,0.72984215,0
8.93,86.92,178858,12,78,0,0,1,1,0,11.64,23.16,0.220763773,0.72984215,0
9,92.82,537000,17,45,1,0,1,1,0,11.64,23.16,0.220763773,0.72984215,0
9,77.52,141558,26,78,1,0,1,0,0,11.64,23.16,0.220763773,0.72984215,0
9,88,350547,12,81,1,0,1,1,0,11.64,23.16,0.220763773,0.72984215,0
9,84.77,299908,14,41,1,0,1,1,0,11.64,23.16,0.220763773,0.72984215,0
9,77,96476,12,81,1,0,1,0,0,11.64,23.16,0.220763773,0.72984215,0
10,87.47,276000,13,45,1,0,1,1,0,11.64,23.16,0.220763773,0.72984215,0
10,87.95,300000,18,84,0,0,1,0,0,11.64,23.16,0.220763773,0.72984215,0
11.41,44.02,280563,17,22,0,1,0,1,0,11.64,23.16,0.220763773,0.72984215,0
11.64,94.03,1308000,52,35,1,1,0,1,1,11.64,23.16,0.220763773,0.72984215,0
11.77,93.07,415824,20,37,1,0,1,0,0,11.64,23.16,0.220763773,0.72984215,0
12,73.19,335632,20,23,0,1,0,1,0,11.64,23.16,0.220763773,0.72984215,0
14,87.14,235441,11,122,0,0,1,0,0,11.64,23.16,0.220763773,0.72984215,0
14,88.14,606579,33,16,0,1,0,1,0,11.64,23.16,0.220763773,0.72984215,0
14.5,82.15,109942,12,78,0,0,1,0,0,11.64,23.16,0.220763773,0.72984215,0
14.5,85.81,393902,27,47,1,1,0,1,0,11.64,23.16,0.220763773,0.72984215,0
14.5,91.06,315783,36,20,1,1,0,1,0,11.64,23.16,0.220763773,0.72984215,0
15.5,95.14,592953,40,18,0,1,0,0,0,11.64,23.16,0.220763773,0.72984215,0
15.5,98.75,1081641,50,24,0,1,0,1,0,11.64,23.16,0.220763773,0.72984215,0
16,91.93,33880,5,95,1,0,1,1,0,11.64,23.16,0.220763773,0.72984215,0
16.7,86.22,588908,30,16,0,1,0,1,0,11.64,23.16,0.220763773,0.72984215,0
21.86,98.96,485638,12,6,0,1,0,1,0,11.64,23.16,0.220763773,0.72984215,0
19.71,78.17,494487,26,23,0,1,0,1,0,14.06,43.89,0.334191,0.240157,1
6,96.53,20000,4,37,0,0,0,0,0,14.06,43.89,0.334681124,0.239501769,0
6,74.67,30000,3,97,0,0,1,0,0,14.06,43.89,0.334681124,0.239501769,0
